CatalogNumber,Item Name,CAS Number,Plate Location,Rack Number,M.w.,Solvent ,Formula,SMILES,Solubility,Form,Pathway,Target,Information,URL
A1042,Angiotensin II,4474-91-3,A01,L1021-01,1046.2,DMSO,C50H71N13O12,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2C(=O)NC(CC3=CC=CC=C3)C(=O)O)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N.CC(=O)O,insoluble in DMSO; insoluble in EtOH; ≥100.2 mg/mL in H2O ,,Cardiovascular,Angiotensin Receptor,,https://www.apexbt.com/search.php?catalog=A1042
A1198,Levetiracetam,102767-28-2,A02,L1021-01,170.21,DMSO,C8H14N2O2,CCC(C(=O)N)N1CCCC1=O,≥25.4 mg/mL in H2O; ≥27.4 mg/mL in EtOH; ≥8.51 mg/mL in DMSO ,Free Base,Membrane Transporter/Ion Channel,Calcium Channel,Antiepileptic drug,https://www.apexbt.com/search.php?catalog=A1198
A1206,Daptomycin,103060-53-3,A03,L1021-01,1620.67,DMSO,C72H101N17O26,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C,≥81.03 mg/mL in H2O; ≥81.05 mg/mL in DMSO; insoluble in EtOH,Free Base,DNA Damage/DNA Repair,DNA Synthesis,Calcium-dependent antibiotic,https://www.apexbt.com/search.php?catalog=A1206
A1229,Lansoprazole,103577-45-3,A04,L1021-01,369.36,DMSO,C16H14F3N3O2S,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,insoluble in H2O; ≥10.32 mg/mL in EtOH with ultrasonic; ≥18.47 mg/mL in DMSO ,Free Base,Membrane Transporter/Ion Channel,Proton Pump,"H+,K+-ATPase inhibitor",https://www.apexbt.com/search.php?catalog=A1229
A1267,Adapalene,106685-40-9,A05,L1021-01,412.52,DMSO,C28H28O3,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,insoluble in H2O; insoluble in EtOH; ≥10.31 mg/mL in DMSO ,Free Base,Others,Others,RAR_ and RAR_ agonist,https://www.apexbt.com/search.php?catalog=A1267
A1295,Granisetron HCl,107007-99-8,A06,L1021-01,348.87,DMSO,C18H24N4O·HCl,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C.Cl,insoluble in DMSO; ≥17.44 mg/mL in H2O; ≥17.44 mg/mL in DMSO with gentle warming,Hydrochloride,Neuroscience,5-HT Receptor,5-HT3 receptor antagonist,https://www.apexbt.com/search.php?catalog=A1295
A1296,Exemestane,107868-30-4,A07,L1021-01,296.4,DMSO,C20H24O2,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,insoluble in H2O; ≥14.82 mg/mL in DMSO; ≥15.23 mg/mL in EtOH ,Free Base,Endocrinology and Hormones,Aromatase,"Steroidal aromatase inhibitor,selective and irreversible",https://www.apexbt.com/search.php?catalog=A1296
A1307,Letrozole,112809-51-5,A08,L1021-01,285.3,DMSO,C17H11N5,N#CC1=CC=C(C(N2N=CN=C2)C3=CC=C(C#N)C=C3)C=C1,insoluble in EtOH;insoluble in H2O;≥14.265 mg/mL in DMSO ,Free Base,Endocrinology and Hormones,Aromatase,Non-steroidal aromatase inhibitor,https://www.apexbt.com/search.php?catalog=A1307
A1313,Gatifloxacin,112811-59-3,A09,L1021-01,375.39,DMSO,C19H22FN3O4,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,insoluble in EtOH; insoluble in H2O; ≥3.75 mg/mL in DMSO with gentle warming,Free Base,DNA Damage/DNA Repair,Topoisomerase,"Fluoroquinolone antibiotic,inhibits bacterial TOPO II",https://www.apexbt.com/search.php?catalog=A1313
A1334,Mosapride Citrate,112885-42-4,A10,L1021-01,614.02,DMSO,C21H25ClFN3O3·C6H8O7,CCOC1=CC(=C(C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(C=C3)F)Cl)N.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,≥30.7 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Citrate,Neuroscience,5-HT Receptor,5-HT receptor agonist,https://www.apexbt.com/search.php?catalog=A1334
A1366,Rocuronium Bromide,119302-91-9,A11,L1021-01,609.68,DMSO,C32H53N2O4·Br,CC(=O)OC1C(CC2C1(CCC3C2CCC4C3(CC(C(C4)O)N5CCOCC5)C)C)[N+]6(CCCC6)CC=C.[Br-],≥30.48 mg/mL in DMSO; ≥40.6 mg/mL in H2O; ≥58.4 mg/mL in EtOH ,Bromide,Neuroscience,AChR,TGF-_R I kinase inhibitor,https://www.apexbt.com/search.php?catalog=A1366
A1373,Biapenem,120410-24-4,B01,L1021-01,350.39,H2O,C15H18N4O4S,CC1C2C(C(=O)N2C(=C1SC3CN4C=NC=[N+]4C3)C(=O)[O-])C(C)O,≥18.65 mg/mL in H2O with gentle warming; insoluble in DMSO; insoluble in EtOH,,Microbiology & Virology,Antibiotic,Highly broad spectrum antibiotic agent,https://www.apexbt.com/search.php?catalog=A1373
A1379,Nelarabine,121032-29-9,B02,L1021-01,297.27,DMSO,C11H15N5O5,COC1=NC(=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)N,insoluble in EtOH; ≥14.85 mg/mL in DMSO; ≥2.77 mg/mL in H2O with gentle warming and ultrasonic,Free Base,DNA Damage/DNA Repair,DNA Synthesis,Prodrug of ara-G for T-LBL/T-ALL,https://www.apexbt.com/search.php?catalog=A1379
